itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:152505,Riverbud,5,10,38000,Monyca,Nuzia,1568849815,Auction
i:152506,Star Moss,200,200,47800,Doonrog,Nuzia,1568849826,Auction
i:152506,Star Moss,50,100,48312,Nosmo,Nuzia,1568849829,Auction
i:152506,Star Moss,100,300,48999,Délio,Nuzia,1568849832,Auction
i:152506,Star Moss,111,111,49000,Actiön,Nuzia,1568849839,Auction
i:152506,Star Moss,200,200,49199,Subetrayer,Nuzia,1568849842,Auction
i:152510,Anchor Weed,100,600,719000,Munding,Nuzia,1568849861,Auction
i:168487,Zin'anthid,200,1200,323900,Spaceforce,Nuzia,1568849888,Auction
i:152505,Riverbud,4,4,36800,Nullwrath,Nuzia,1568850523,Auction
i:152507,Akunda's Bite,50,50,37620,Nosmo,Nuzia,1568850540,Auction
i:152507,Akunda's Bite,64,64,38612,Vikandër,Nuzia,1568850546,Auction
i:152507,Akunda's Bite,200,400,75000,Thúmõvît,Nuzia,1568850551,Auction
i:152511,Sea Stalk,200,200,38400,Neitos,Nuzia,1568850563,Auction
i:152511,Sea Stalk,200,200,38600,Thúmõvît,Nuzia,1568850565,Auction
i:152511,Sea Stalk,200,200,39000,Baiz,Nuzia,1568850567,Auction
i:152511,Sea Stalk,200,200,39200,Doonrog,Nuzia,1568850567,Auction
i:168487,Zin'anthid,200,800,323900,Spaceforce,Nuzia,1568850577,Auction
i:168487,Zin'anthid,200,200,324000,Mykaza,Nuzia,1568850583,Auction
i:168487,Zin'anthid,200,600,324795,Rohenheim,Nuzia,1568850585,Auction
i:152505,Riverbud,100,200,32431,Délio,Nuzia,1568911921,Auction
i:159959,Nylon Thread,200,400,4800,Merchant,Robso,1569165856,Vendor
i:159959,Nylon Thread,100,100,4800,Merchant,Robso,1569165856,Vendor
i:168447,Enchant Ring - Accord of Haste,1,2,8775000,Akumaz,Creacher,1569195490,Auction
i:153479,Enchant Weapon - Torrent of Elements,1,1,3147499,Putrificador,Creacher,1569195501,Auction
i:168641,Quick Sand Spinel,1,3,2150000,Erelom,Creacher,1569195515,Auction
i:168641,Quick Sand Spinel,1,1,2199998,Ingloria,Creacher,1569195518,Auction
