itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:116053,?,12,12,0,Merchant,Nuzia,1548798853,Vendor
i:115524,?,13,13,0,Merchant,Nuzia,1548798853,Vendor
i:112377,?,29,29,0,Merchant,Nuzia,1548798853,Vendor
i:137595,?,1,1,1500,Merchant,Nuzia,1548798853,Vendor
i:38682,Enchanting Vellum,195,195,10,Merchant,Nuzia,1548798854,Vendor
i:142336,Falcosaur Egg,2,2,15,Merchant,Robso,1548798961,Vendor
i:133607,Silver Mackerel,4,4,105,Merchant,Robso,1548798965,Vendor
i:124108,Mossgill Perch,2,2,625,Merchant,Robso,1548798968,Vendor
i:74866,Golden Carp,3,3,2500,Merchant,Robso,1548798969,Vendor
i:109129,Talador Orchid,6,6,2462,Merchant,Robso,1548798991,Vendor
i:72234,Green Tea Leaf,2,2,2337,Merchant,Robso,1548799005,Vendor
i:36904,Tiger Lily,1,1,750,Merchant,Robso,1548799009,Vendor
i:108339,Dreamfoil Blade,7,7,12,Merchant,Robso,1548799014,Vendor
i:3371,Crystal Vial,111,111,5,Merchant,Robso,1548799019,Vendor
i:2835,Rough Stone,12,12,2,Merchant,Robso,1548799027,Vendor
i:142335,Pristine Falcosaur Feather,4,4,118,Merchant,Robso,1548799030,Vendor
i:109118,Blackrock Ore,5,5,350,Merchant,Robso,1548799036,Vendor
i:108340,Golden Sansam Leaf,11,11,37,Merchant,Robso,1548799041,Vendor
i:74866,Golden Carp,8,8,2500,Merchant,Creacher,1548799472,Vendor
i:124121,Wildfowl Egg,6,6,30,Merchant,Creacher,1548799473,Vendor
i:124108,Mossgill Perch,9,9,625,Merchant,Creacher,1548799479,Vendor
i:2592,Wool Cloth,7,7,33,Merchant,Creacher,1548799483,Vendor
i:38426,Eternium Thread,30,30,7500,Merchant,Creacher,1548799491,Vendor
i:6218,Runed Copper Rod,1,1,24,Merchant,Creacher,1548799503,Vendor
i:124438,Unbroken Claw,17,17,1,Merchant,Creacher,1548799505,Vendor
i:3371,Crystal Vial,72,72,5,Merchant,Creacher,1548799514,Vendor
i:17056,Light Feather,91,91,7,Merchant,Creacher,1548799515,Vendor
i:4470,Simple Wood,10,10,9,Merchant,Creacher,1548799517,Vendor
i:134459::3:1476:1826:3528,?,1,1,296337,Merchant,Robso,1548818648,Vendor
p:78:1:2,?,1,1,317477,Prøzzør,Creacher,1548783969,Auction
p:236:1:2,?,1,1,367456,Prøzzør,Creacher,1548784214,Auction
p:118,Winter Reindeer,1,1,377909,Prøzzør,Creacher,1548784236,Auction
i:124442,Chaos Crystal,1,1,130530,Helinhaa,Creacher,1548799776,Auction
i:108996,Alchemical Catalyst,1,5,30190,Pmicheltemer,Creacher,1548801779,Auction
i:108996,Alchemical Catalyst,80,80,30189,Pmicheltemer,Creacher,1548801785,Auction
i:124437,Shal'dorei Silk,63,63,26239,Shamburguer,Creacher,1548820157,Auction
i:152875,Gloom Dust,1,1,215555,Sharpz,Creacher,1548820832,Auction
i:152876,Umbra Shard,2,2,1636280,Thänny,Creacher,1548820836,Auction
i:124125,Obliterum,1,1,579405,Hellhazer,Creacher,1548821252,Auction
i:152877,Veiled Crystal,2,2,3657405,Agromar,Creacher,1548828217,Auction
i:21589,?,2,2,12,Merchant,Robso,1548840457,Vendor
i:21595,?,2,2,12,Merchant,Robso,1548840458,Vendor
i:21561,?,4,4,6,Merchant,Robso,1548840458,Vendor
i:21562,?,4,4,6,Merchant,Robso,1548840459,Vendor
i:21558,?,4,4,6,Merchant,Robso,1548840459,Vendor
i:21590,?,2,2,12,Merchant,Robso,1548840460,Vendor
i:21592,?,2,2,12,Merchant,Robso,1548840461,Vendor
i:21557,?,4,4,6,Merchant,Robso,1548840462,Vendor
i:21559,?,4,4,6,Merchant,Robso,1548840463,Vendor
i:21593,?,2,2,12,Merchant,Robso,1548840463,Vendor
i:123918,Leystone Ore,5,5,59280,Oldmake,Creacher,1548845225,Auction
i:124102,Dreamleaf,96,96,112480,Fhryskk,Creacher,1548849225,Auction
i:21881,Netherweb Spider Silk,5,5,33155,Doraanevad,Creacher,1548851024,Auction
i:121048::3:1690:1808:1812:1000110,?,1,1,172797,Merchant,Creacher,1548858991,Vendor
i:121273::2:1711:1812:1000110,?,1,1,256346,Merchant,Creacher,1548859008,Vendor
i:121247::2:1711:1812:1000110,?,1,1,205224,Merchant,Creacher,1548859011,Vendor
i:163543,?,1,1,62459,Merchant,Robso,1548881700,Vendor
i:79011,Fool's Cap,1,1,7241,Äuctioneer,Creacher,1548872445,Auction
i:124102,Dreamleaf,50,50,112480,Greylogs,Creacher,1548880776,Auction
p:1662:1:3,?,1,1,100130,Cualcauh,Creacher,1548887438,Auction
i:90146,Tinker's Kit,1,1,500,Merchant,Robso,1548910603,Vendor
i:139718,?,1,1,1250000,Merchant,Robso,1548916775,Vendor
i:139715::1:3383,?,1,1,1250000,Merchant,Robso,1548916775,Vendor
i:139722,?,1,1,1250000,Merchant,Robso,1548916775,Vendor
i:124119,Big Gamy Ribs,51,51,11115,Ravicki,Creacher,1548940373,Auction
i:124101,Aethril,37,37,84930,Orcsmåsh,Creacher,1548941469,Auction
i:124101,Aethril,100,100,84930,Orcsmåsh,Creacher,1548941472,Auction
i:124104,Fjarnskaggl,100,100,94334,Rayka,Creacher,1548942964,Auction
i:111557,Sumptuous Fur,1,1,16245,Drtrinity,Creacher,1548948218,Auction
